"state","county","FIPS","dem_cand_votes_08","dem_percent_08","dem_cand_votes_12","dem_percent_12","dem_cand_votes_16","dem_percent_16"
"Alabama","Bullock",1011,4011,74.0720221606648,4061,76.3059000375799,3530,74.9469214437367
"Alabama","Chilton",1021,3674,20.657857745291,3397,19.4536708280838,2911,15.8473515161413
"Alabama","Clay",1027,1760,25.8102361050007,1777,26.6736715700991,1237,18.6745169082126
"Alabama","Cullman",1043,5864,16.6095453901714,5052,14.6617523289898,3798,10.028252316954
"Alabama","Escambia",1053,5188,35.3550497478533,5489,36.9157307149102,4605,31.020545638262
"Alabama","Fayette",1057,1994,25.0596958652759,1817,22.8668512459099,1362,16.5110922536065
"Alabama","Franklin",1059,3469,29.6673223295989,3171,29.2015839395893,2197,18.2475083056478
"Alabama","Hale",1065,4982,60.6525444363282,5411,62.6055767673262,4775,59.3905472636816
"Alabama","Lamar",1075,1614,22.8127208480565,1646,22.969578565448,1036,14.8722365776629
"Alabama","Lauderdale",1077,13329,34.9805794667227,12511,33.8831112555519,9952,25.1790006325111
"Alabama","Monroe",1099,5025,44.6587273373623,4914,45.8909226746358,4332,42.1770032129296
"Alabama","Pike",1109,5879,42.1282694374776,6035,42.7801800524562,5056,38.3961117861482
"Alabama","Shelby",1117,20625,22.7541012543715,20051,21.675116477672,22977,22.6924368420013
"Alabama","Walker",1127,7420,25.8969705430685,6557,22.9900774867641,4497,15.2585504885993
"Arizona","Graham",4009,3487,29.0413925210294,3609,30.4428511176719,3301,16.2562789323353
"Arkansas","Baxter",5005,6539,32.726089785296,5172,26.7438854128962,4169,21.091773752909
"Arkansas","Benton",5007,23331,30.6692256122409,22636,28.5602533530161,28005,28.923613980005
"Arkansas","Bradley",5011,1680,41.5738678544915,1449,39.6768893756846,1317,36.052559540104
"Arkansas","Craighead",5031,11294,36.4699044174632,10527,33.2082018927445,10538,29.6235909257021
"Arkansas","Dallas",5039,1471,44.333936106088,1337,43.3527885862516,1165,42.0425839047275
"Arkansas","Desha",5041,2569,54.9166310389055,2443,55.2714932126697,2228,52.3373267559314
"Arkansas","Faulkner",5045,14955,36.3170548094903,13621,32.85335262904,14629,30.7803985103204
"Arkansas","Howard",5061,1746,36.0297152290549,1471,32.9672792469744,1351,28.9045785194694
"Arkansas","Logan",5083,2286,28.9110914379664,2009,27.4041740553813,1715,21.6513066532004
"Arkansas","Marion",5089,2384,33.2867913990505,2037,28.8895192171323,1434,20.1772899957788
"Arkansas","Newton",5101,1182,29.8484848484848,993,27.1237366839661,699,18.6250999200639
"California","Alameda",6001,489106,78.7573527162178,469684,78.8534052333449,514842,78.6900129305206
"California","Calaveras",6009,9813,42.1050373294431,8670,39.7961993941063,7944,34.3360995850622
"California","Humboldt",6023,39692,62.2844320303796,34457,59.9564990429789,33200,56.0375383992168
"California","Mariposa",6043,4100,42.4826442855663,3498,38.8666666666667,3122,35.1695392587586
"California","Merced",6047,34031,53.3334378134403,33005,53.1849751035339,37317,52.7158174292616
"California","Modoc",6049,1313,29.7058823529412,1111,27.8725539387857,877,23.1520591341077
"California","Mono",6051,3093,55.5196553581045,2733,52.7504342790967,2773,52.5587566338135
"California","Napa",6055,38849,65.1369840045605,35870,62.9651734306979,39199,63.8711464511504
"California","Placer",6061,75112,43.3905041390585,66818,39.0014125447987,73509,40.2042233877893
"California","Riverside",6065,325017,50.2112624922949,329063,49.714385857832,373695,49.7337604522812
"California","Santa Barbara",6083,105614,60.3812202707647,94129,57.6347048738673,107142,60.6054778093288
"California","Santa Clara",6085,462241,69.4484133601968,450818,70.1017429881619,511684,72.7124422168823
"California","Stanislaus",6099,80279,49.8580877557991,77724,50.0254233469997,81647,47.4289266088088
"California","Tulare",6107,43634,41.4748208277094,41752,41.297725024728,47585,42.3602827282924
"Colorado","Alamosa",8003,3521,56.0133630289532,3811,56.7535368577811,3189,45.9576307825335
"Colorado","Arapahoe",8005,148218,55.6900671806664,153905,53.9041594866838,159885,52.7593170673759
"Colorado","Cheyenne",8017,198,17.8217821782178,172,15.736505032022,132,11.978221415608
"Colorado","Elbert",8039,3819,28.9186733303044,3603,25.4126110876005,3134,19.6144698961071
"Colorado","Las Animas",8071,3562,52.6845141251294,3445,50.2040221509764,2650,39.0107463565435
"Colorado","Moffat",8081,1582,26.946005791177,1330,21.5629053177691,874,13.3946360153257
"Colorado","Morgan",8087,3813,37.2581590775845,3912,36.2995267699731,3151,26.3461538461538
"Colorado","Park",8093,4250,45.2946818714697,3862,41.2342515481529,3421,32.8405491024287
"Colorado","Phillips",8095,622,27.5221238938053,588,25.9602649006622,436,18.696397941681
"Colorado","Rio Blanco",8103,655,20.8134731490308,568,16.8596022558623,436,12.6376811594203
"Connecticut","Hartford",9003,268301,65.1556030452785,244639,62.3697226188048,240403,59.0868201659523
"Connecticut","New Haven",9009,232820,60.9893146888319,218972,60.6526953737404,205609,54.2495369466446
"Florida","Broward",12011,492640,67.1264029519048,508312,67.1995261904069,553320,66.5087246724867
"Florida","Calhoun",12013,1821,29.16399743754,1664,27.0481144343303,1241,20.4078276599244
"Florida","Desoto",12027,4383,43.2632514065739,4174,42.3112012164217,3781,34.9510075799593
"Florida","Flagler",12035,24726,50.4293202259795,23207,45.8681687913825,22026,38.3040884823401
"Florida","Franklin",12037,2134,35.395587991375,1845,33.704786262331,1744,28.9941812136326
"Florida","Hardee",12049,2568,34.646519158122,2463,34.085247716579,2149,28.3397072398787
"Florida","Highlands",12055,18135,40.495277225733,16148,38.0454245594195,14937,32.6949174801909
"Florida","Lake",12069,62948,42.8433361011666,61799,40.9777801354013,62838,36.863347842921
"Florida","Madison",12079,4270,47.9398226114292,4176,47.9173838209983,3526,41.4579659024104
"Florida","Orange",12095,273009,59.0020552785648,273665,58.6811876687273,329894,60.3897304471191
"Florida","St. Johns",12109,35791,33.8148596047013,35190,30.6546452371619,43099,31.5711209106758
"Florida","Walton",12131,7174,26.5251793241145,6671,23.4119463746754,6876,20.4417754258703
"Georgia","Bacon",13005,817,20.7465718638903,791,20.1221063342661,608,15.1243781094527
"Georgia","Clinch",13065,989,36.6839762611276,852,34.4660194174757,686,27.9429735234216
"Georgia","Columbia",13073,15703,28.3698578164803,16451,27.9194881455459,18887,29.172265727569
"Georgia","Coweta",13077,15521,28.9846682477731,15168,27.3026730267303,16583,26.8572354036764
"Georgia","Dawson",13085,1632,16.3625426107881,1241,12.1144084342054,1448,12.3076923076923
"Georgia","Dougherty",13095,26135,67.2784842712248,26295,69.3451831535642,23311,68.3867750168686
"Georgia","Fannin",13111,2611,24.6693121693122,2028,20.2455825097335,1923,16.2800541821876
"Georgia","Franklin",13119,1914,23.7086584912672,1499,19.3120329811904,1243,14.6200893907316
"Georgia","Houston",13153,22094,39.5022438361553,22702,39.1036240870883,22553,37.5389071056442
"Georgia","Jenkins",13165,1482,43.0813953488372,1488,43.8938053097345,1123,36.7473821989529
"Georgia","Lumpkin",13187,2586,23.3498871331828,2055,18.8445667125172,2220,17.8672032193159
"Georgia","McDuffie",13189,3989,41.7958927074602,4044,42.1601334445371,3699,39.9115235217954
"Georgia","Mitchell",13205,3872,47.6847290640394,4081,49.3172205438066,3493,44.3274111675127
"Georgia","Paulding",13223,17229,30.2342721768887,15825,27.5701667276433,18025,27.7777777777778
"Georgia","Pierce",13229,1253,18.4508908849948,1124,16.4183464796962,903,12.3512515387772
"Georgia","Talbot",13263,2369,64.027027027027,2265,64.8811228874248,2002,61.6759088108441
"Georgia","Telfair",13271,1862,42.5697302240512,1805,41.6282287822878,1313,34.5890410958904
"Georgia","Toombs",13279,2964,30.5945499587118,2746,29.3878424657534,2338,25.5854672794922
"Georgia","Twiggs",13289,2402,53.1533525116176,2270,54.0218943360305,1971,48.5587583148559
"Georgia","Ware",13299,4034,32.4903350515464,3900,32.6660524332021,3440,28.2337491792515
"Georgia","Webster",13307,515,46.3546354635464,582,49.0311710193766,473,42.3835125448029
"Georgia","Wheeler",13309,794,35.9276018099548,772,35.7407407407407,646,30.732635585157
"Hawaii","Honolulu",15003,214239,69.8272237486677,204349,68.8641985293622,175696,61.477308513244
"Hawaii","Maui",15009,39727,76.7093398211976,36052,74.1002610322077,33480,64.4527866012128
"Idaho","Bingham",16011,4424,25.7883998834159,3822,21.7122081463387,2924,17.587969924812
"Idaho","Bonneville",16019,11417,27.3769273193775,9903,22.9167148774674,8930,20.1940254630153
"Idaho","Camas",16025,187,30.2588996763754,159,27.5086505190311,110,18.6440677966102
"Idaho","Canyon",16027,20147,31.3591507642499,19866,30.0590104403087,16883,23.1957134024868
"Idaho","Custer",16037,611,25.9778911564626,530,22.5340136054422,427,17.6884838442419
"Idaho","Franklin",16041,600,11.8273211117682,325,5.80357142857143,385,7.00127295871977
"Idaho","Fremont",16043,1065,18.1122448979592,810,13.9607032057911,651,11.3910761154856
